workbook,sheet,row,name,modelNumber,manufacturer,vendor,description,category,price,url,finish,color,collection,is_noise,is_high_confidence,is_new_vs_baseline
Product_Master_Audit_Pass.xlsx,Product_Occurrences,194,Flooring,I228133LX,,,,,$900.00,,,,,0,1,1
Product_Master_Audit_Pass.xlsx,Product_Occurrences,195,Flooring,VSNP-07660,,,,,$33.93,,,,,0,1,1
Product_Master_Audit_Pass.xlsx,Product_Occurrences,218,Master Bathroom Plumbing,CD-K030PRO,,,,,2000,,,,,0,1,1
Product_Master_Audit_Pass.xlsx,Product_Occurrences,221,DR10000UNWSHF,DR10000UNWSHF,,,,,,,,,,0,1,1
Product_Master_Audit_Pass.xlsx,Product_Occurrences,225,"Delta Universal Mixing Rough-In Valve with Service Stops, 1/2"" NPT Male thread with 1/2"" C.W.T Female Sweat - Shower Only, No Tub Outlet",R10000,,,,,77.792,,,,,0,1,1
Product_Master_Audit_Pass.xlsx,Product_Occurrences,226,"Delta Innovations Three Function Diverter Valve Trim Less Rough-In Valve - Two Independent Positions, One Shared Position",T11800,,,,,277.398,,,,,0,1,1
Product_Master_Audit_Pass.xlsx,Product_Occurrences,227,Delta Lahara Monitor 17 Series Dual Function Pressure Balanced Shower Only with Integrated Volume Control - Less Rough-In Valve,T17238,,,,,307.76900000000006,,,,,0,1,1
Product_Master_Audit_Pass.xlsx,Product_Occurrences,229,Master Bathroom Electrical,FV-0511VKS3S,,,,,248.60000000000002,,,,,0,1,1
Product_Master_Audit_Pass.xlsx,Product_Occurrences,230,Master Bathroom Electrical,FV-0511VKSL3,,,,,300.883,,,,,0,1,1
Product_Master_Audit_Pass.xlsx,Product_Occurrences,237,Master Bath Finishes & Trim,K-20000,,,,,139.97500000000002,,,,,0,1,1
Product_Master_Audit_Pass.xlsx,Product_Occurrences,239,Master Bath Finishes & Trim,41618-CZ,,,,,173.657,,,,,0,1,1
Product_Master_Audit_Pass.xlsx,Product_Occurrences,240,Master Bath Finishes & Trim,41624-CZ,,,,,188.144,,,,,0,1,1
Product_Master_Audit_Pass.xlsx,Product_Occurrences,241,Master Bath Finishes & Trim,41642-CZ,,,,,289.28900000000004,,,,,0,1,1
